,struct,PNG,dist,emin,emax
10,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/8000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/8000/PARCHG-3.0-3.0_1.75.png,1.75,-3.0,3.0
11,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/4000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/4000/PARCHG-6.0-0.0_1.5.png,1.5,-6.0,0.0
12,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/12000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/12000/PARCHG-5.0-5.0_1.5.png,1.5,-5.0,5.0
13,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/16000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/16000/PARCHG-1.5-1.5_1.5.png,1.5,-1.5,1.5
14,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/PARCHG-2.5-0.0_1.5.png,1.5,-2.5,0.0
15,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/PARCHG-7.0-7.0_2.0.png,2.0,-7.0,7.0
16,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/10000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/10000/PARCHG-5.0-0.0_2.0.png,2.0,-5.0,0.0
17,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/20000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/20000/PARCHG-3.0-0.0_2.25.png,2.25,-3.0,0.0
18,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/8000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/8000/PARCHG-4.0-4.0_2.5.png,2.5,-4.0,4.0
19,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/PARCHG-6.0-6.0_2.5.png,2.5,-6.0,6.0
20,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/20000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/20000/PARCHG-4.0-0.0_1.75.png,1.75,-4.0,0.0
21,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/12000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/12000/PARCHG-1.5-0.0_1.5.png,1.5,-1.5,0.0
22,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/4000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/4000/PARCHG-0.5-0.0_2.5.png,2.5,-0.5,0.0
23,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/10000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/10000/PARCHG-7.5-7.5_2.0.png,2.0,-7.5,7.5
24,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/PARCHG-1.5-1.5_2.25.png,2.25,-1.5,1.5
25,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/16000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/16000/PARCHG-1.5-1.5_1.5.png,1.5,-1.5,1.5
26,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/20000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/20000/PARCHG-6.5-6.5_2.0.png,2.0,-6.5,6.5
27,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/6000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/6000/PARCHG-1.5-0.0_2.5.png,2.5,-1.5,0.0
28,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/6000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/6000/PARCHG-3.0-0.0_2.0.png,2.0,-3.0,0.0
29,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/4000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/4000/PARCHG-7.0-0.0_2.25.png,2.25,-7.0,0.0
30,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/20000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/20000/PARCHG-2.0-0.0_1.75.png,1.75,-2.0,0.0
31,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/20000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/20000/PARCHG-3.0-3.0_1.75.png,1.75,-3.0,3.0
32,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/14000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/14000/PARCHG-7.5-7.5_2.0.png,2.0,-7.5,7.5
33,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/10000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/10000/PARCHG-1.0-0.0_2.25.png,2.25,-1.0,0.0
34,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/10000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/10000/PARCHG-4.0-4.0_2.25.png,2.25,-4.0,4.0
35,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/PARCHG-0.5-0.0_2.0.png,2.0,-0.5,0.0
36,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/PARCHG-1.5-0.0_2.5.png,2.5,-1.5,0.0
37,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/0/PARCHG-1.0-0.0_2.0.png,2.0,-1.0,0.0
38,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/PARCHG-3.5-3.5_1.75.png,1.75,-3.5,3.5
39,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/0/PARCHG-7.0-0.0_2.25.png,2.25,-7.0,0.0
40,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/18000/PARCHG-5.0-0.0_2.0.png,2.0,-5.0,0.0
41,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/PARCHG-3.5-3.5_2.25.png,2.25,-3.5,3.5
42,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/20000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/20000/PARCHG-5.0-5.0_1.5.png,1.5,-5.0,5.0
43,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/PARCHG-4.5-4.5_2.25.png,2.25,-4.5,4.5
44,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/PARCHG-5.0-5.0_2.0.png,2.0,-5.0,5.0
45,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/PARCHG-2.0-2.0_2.5.png,2.5,-2.0,2.0
46,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/PARCHG-4.5-4.5_1.75.png,1.75,-4.5,4.5
47,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/2000/PARCHG-3.0-3.0_1.75.png,1.75,-3.0,3.0
48,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/14000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/14000/PARCHG-7.5-0.0_1.5.png,1.5,-7.5,0.0
49,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/16000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/16000/PARCHG-4.0-0.0_1.5.png,1.5,-4.0,0.0
50,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/PARCHG-4.0-4.0_1.5.png,1.5,-4.0,4.0
51,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/PARCHG-3.0-0.0_2.25.png,2.25,-3.0,0.0
52,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/PARCHG-6.5-0.0_2.0.png,2.0,-6.5,0.0
53,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/PARCHG-7.5-7.5_2.25.png,2.25,-7.5,7.5
54,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/4000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/4000/PARCHG-5.5-0.0_2.25.png,2.25,-5.5,0.0
55,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/10000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/10000/PARCHG-6.0-0.0_1.5.png,1.5,-6.0,0.0
56,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/2000/PARCHG-2.5-2.5_2.5.png,2.5,-2.5,2.5
57,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/12000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/12000/PARCHG-1.5-1.5_2.25.png,2.25,-1.5,1.5
58,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/PARCHG-3.0-3.0_1.5.png,1.5,-3.0,3.0
59,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/8000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/8000/PARCHG-3.5-0.0_1.75.png,1.75,-3.5,0.0
60,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/14000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/14000/PARCHG-3.0-3.0_2.25.png,2.25,-3.0,3.0
61,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/10000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/10000/PARCHG-4.5-4.5_2.5.png,2.5,-4.5,4.5
62,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/6000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/6000/PARCHG-7.5-0.0_2.0.png,2.0,-7.5,0.0
63,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/PARCHG-3.0-0.0_2.5.png,2.5,-3.0,0.0
64,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/16000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/16000/PARCHG-1.5-0.0_2.5.png,2.5,-1.5,0.0
65,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/20000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/20000/PARCHG-5.5-0.0_1.75.png,1.75,-5.5,0.0
66,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/20000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/20000/PARCHG-1.5-1.5_2.0.png,2.0,-1.5,1.5
67,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/20000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/20000/PARCHG-1.5-1.5_1.5.png,1.5,-1.5,1.5
68,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/PARCHG-4.0-4.0_2.0.png,2.0,-4.0,4.0
69,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/8000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/8000/PARCHG-4.5-4.5_2.0.png,2.0,-4.5,4.5
70,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/16000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/16000/PARCHG-6.0-6.0_1.5.png,1.5,-6.0,6.0
71,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/8000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/8000/PARCHG-2.0-2.0_1.5.png,1.5,-2.0,2.0
72,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/2000/PARCHG-4.0-0.0_2.5.png,2.5,-4.0,0.0
73,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/6000/PARCHG-1.5-1.5_1.75.png,1.75,-1.5,1.5
74,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/18000/PARCHG-3.5-3.5_1.5.png,1.5,-3.5,3.5
75,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/10000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/002-beta12_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/10000/PARCHG-3.5-0.0_2.0.png,2.0,-3.5,0.0
76,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/PARCHG-6.0-6.0_2.5.png,2.5,-6.0,6.0
77,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/8000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/8000/PARCHG-2.0-0.0_1.75.png,1.75,-2.0,0.0
